Name,Joining date,Email Address,Department,Monthly Salary
manya,31/12/22,manya@demomail.com,sales,"$3,450"
jith,30/11/22,jith@demomail.com,accounting,$3125
revathy,15/03/22,revathy@demomail.com,sales,"$3,450"
pranav,06/08/22,pranav@demomail.com,human resourse,$4000
yugma,13/07/22,yugma@demomail.com,sales,"$3,450"
bain,14/09/22,bain@demomail.com,accounting,"$3,125"
suraj,20/12/22,suraj@demomail.com,sales,"$3,450"
pooja,22/03/22,pooja@demomail.com,human resourse,$4000
priya,01/03/22,priya@demomail.com,human resourse,$4000
varsh,03/03/22,varsha@demomail.com,sales,"$3,450"
